fid2,ID_LINE,ID_POINT,DISTANCE,OVERLAND,X,Y,Z
4839,21,4839,72.17113228,72.456073457,143269.79299,2660370.4661,-45.399997711
4840,21,4840,72.709722819,72.996147098,143269.99319,2660369.9661,-45.36000061
4841,21,4841,73.248313358,73.537053813,143270.19339,2660369.4661,-45.309997559
4842,21,4842,73.786903898,74.076479151,143270.39359,2660368.9661,-45.279998779
4843,21,4843,74.325494437,74.61590449,143270.59379,2660368.4661,-45.25
4844,21,4844,74.864084977,75.154587825,143270.79399,2660367.9661,-45.259998322
4845,21,4845,75.402675516,75.693178364,143270.99419,2660367.4661,-45.259998322
4846,21,4846,75.941266055,76.231861699,143271.19439,2660366.9661,-45.25
4847,21,4847,76.479856595,76.770545105,143271.39459,2660366.4661,-45.239997864
4848,21,4848,77.018447134,77.309135645,143271.59479,2660365.9661,-45.239997864
4849,21,4849,77.557037674,77.848560983,143271.79499,2660365.4661,-45.209999084
4850,21,4850,78.095628213,78.387522751,143271.99519,2660364.9661,-45.189998627
4851,21,4851,78.634218752,78.926206087,143272.19539,2660364.4661,-45.180000305
4852,21,4852,79.172809292,79.465167855,143272.39559,2660363.9661,-45.200000763
4853,21,4853,79.711399831,80.00385119,143272.59578,2660363.4661,-45.209999084
4854,21,4854,80.249990371,80.542812958,143272.79598,2660362.9661,-45.229999542
4855,21,4855,80.78858091,81.081774726,143272.99618,2660362.4661,-45.209999084
4856,21,4856,81.327171449,81.621200064,143273.19638,2660361.9661,-45.180000305
4857,21,4857,81.865761989,82.1598834,143273.39658,2660361.4661,-45.189998627
4858,21,4858,82.404352528,82.705941818,143273.59678,2660360.9661,-45.099998474
4859,21,4859,82.942943068,83.244625153,143273.79698,2660360.4661,-45.090000153
4860,21,4860,83.481533607,83.785531516,143273.99718,2660359.9661,-45.13999939
4861,21,4861,84.020124146,84.339589317,143274.19738,2660359.4661,-45.009998322
4862,21,4862,84.558714686,84.878272723,143274.39758,2660358.9661,-45.020000458
4863,21,4863,85.097305225,85.417234491,143274.59778,2660358.4661,-45
4864,21,4864,85.635895765,85.956660042,143274.79798,2660357.9661,-44.969997406
4865,21,4865,86.174486304,86.495250581,143274.99818,2660357.4661,-44.969997406
4866,21,4866,86.713076843,87.033933916,143275.19838,2660356.9661,-44.959999084
4867,21,4867,87.251667383,87.572524455,143275.39857,2660356.4661,-44.959999084
4868,21,4868,87.790257922,88.112598379,143275.59877,2660355.9661,-44.919998169
4869,21,4869,88.328848462,88.651281714,143275.79897,2660355.4661,-44.909999847
4870,21,4870,88.867439001,89.190243482,143275.99917,2660354.9661,-44.88999939
4871,21,4871,89.40602954,89.728926888,143276.19937,2660354.4661,-44.879997253
4872,21,4872,89.94462008,90.267888656,143276.39957,2660353.9661,-44.899997711
4873,21,4873,90.483210619,90.807314207,143276.59977,2660353.4661,-44.930000305
4874,21,4874,91.021801159,91.345997612,143276.79997,2660352.9661,-44.919998169
4875,21,4875,91.560391698,91.885423163,143277.00017,2660352.4661,-44.950000763
4876,21,4876,92.098982237,92.424848502,143277.20037,2660351.9661,-44.979999542
4877,21,4877,92.637572777,92.96381027,143277.40057,2660351.4661,-44.959999084
4878,21,4878,93.176163316,93.508309537,143277.60077,2660350.9661,-45.039997101
4879,21,4879,93.714753856,94.046992943,143277.80097,2660350.4661,-45.049999237
4880,21,4880,94.253344395,94.585954711,143278.00117,2660349.9661,-45.029998779
4881,21,4881,94.791934934,95.127877154,143278.20137,2660349.4661,-44.969997406
